,Rk,Player,Tm,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,seed,slug,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals,year
0,1,Nikola Jokić,DEN,13,4,0.765,17,17,34.8,10.8,17.3,0.626,2.1,4.9,0.434,8.7,12.4,0.701,0.687,5.8,6.8,0.853,3.3,9.5,12.8,11.1,1.6,0.8,3.5,3.0,29.6,4,jokicni01,[<Position.CENTER: 'CENTER'>],30,Team.DENVER_NUGGETS,17,592,36.7,0.729,0.282,0.395,11.3,28.5,20.5,51.6,2.2,2.0,14.6,29.0,4.0,1.1,5.1,0.413,12.8,5.4,18.2,3.0,False,2026
1,2,Shai Gilgeous-Alexander,OKC,18,1,0.947,19,19,33.3,10.9,19.9,0.548,2.2,5.2,0.414,8.7,14.7,0.595,0.602,8.7,9.7,0.897,0.5,4.4,4.9,6.6,1.6,0.8,1.7,1.8,32.6,1,gilgesh01,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.OKLAHOMA_CITY_THUNDER,19,632,34.0,0.675,0.262,0.487,1.8,14.0,8.2,35.2,2.3,2.4,6.7,33.6,3.8,1.5,5.2,0.396,10.3,3.8,14.0,2.5,False,2026
2,3,Luka Dončić,LAL,13,4,0.765,13,13,37.2,10.8,23.1,0.47,3.7,11.1,0.333,7.2,12.0,0.596,0.55,9.8,12.4,0.789,0.8,7.9,8.8,9.2,1.9,0.5,4.2,2.7,35.2,3,doncilu01,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.LOS_ANGELES_LAKERS,13,484,29.2,0.616,0.48,0.537,2.9,24.2,14.1,42.1,2.5,1.4,12.7,37.7,1.7,0.7,2.4,0.237,8.2,1.7,9.9,1.5,False,2026
3,4,Cade Cunningham,DET,15,3,0.833,15,15,36.3,9.7,21.9,0.445,1.9,6.5,0.299,7.8,15.4,0.506,0.489,6.7,8.1,0.828,1.3,4.8,6.1,9.3,1.3,0.7,3.6,3.7,28.1,6,cunnica01,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.DETROIT_PISTONS,15,545,22.1,0.553,0.296,0.372,4.1,14.2,9.2,40.6,1.7,2.0,12.4,32.9,1.2,0.7,1.9,0.167,4.5,0.2,4.8,0.9,False,2026
4,5,Austin Reaves,LAL,13,4,0.765,14,14,36.3,8.6,17.2,0.498,2.4,7.6,0.318,6.1,9.6,0.642,0.568,8.3,9.4,0.879,0.9,4.9,5.7,7.0,1.4,0.1,3.2,2.5,27.9,3,reaveau01,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.LOS_ANGELES_LAKERS,14,508,24.1,0.652,0.444,0.548,3.0,15.2,9.4,30.0,1.9,0.2,13.1,29.1,1.8,0.5,2.3,0.217,5.0,0.0,5.0,0.9,False,2026
5,6,Isaiah Hartenstein,OKC,18,1,0.947,19,19,27.8,5.3,7.8,0.671,0.0,0.2,0.0,5.3,7.6,0.69,0.671,1.7,2.6,0.64,3.3,7.4,10.7,3.4,1.3,0.8,2.1,2.8,12.2,1,harteis01,[<Position.CENTER: 'CENTER'>],27,Team.OKLAHOMA_CITY_THUNDER,19,528,21.3,0.678,0.027,0.336,13.7,28.1,21.3,17.3,2.2,2.9,18.6,17.2,1.3,1.5,2.8,0.253,1.4,2.8,4.1,0.8,False,2026
6,7,Jalen Duren,DET,15,3,0.833,16,16,29.0,7.1,10.9,0.655,0.0,0.0,,7.1,10.9,0.655,0.655,5.5,7.3,0.752,4.4,7.4,11.8,2.0,0.9,0.9,2.4,3.3,19.8,6,durenja01,[<Position.CENTER: 'CENTER'>],22,Team.DETROIT_PISTONS,16,464,26.2,0.701,0.0,0.672,16.7,27.6,22.2,10.5,1.4,3.0,14.7,23.5,1.6,0.8,2.5,0.257,3.5,-0.1,3.4,0.6,False,2026
7,8,Alperen Şengün,HOU,12,4,0.75,16,16,36.6,8.0,16.6,0.483,1.2,2.9,0.404,6.8,13.6,0.5,0.519,4.8,6.6,0.726,3.0,6.4,9.4,7.1,1.1,0.9,3.4,3.3,22.0,2,sengual01,[<Position.CENTER: 'CENTER'>],23,Team.HOUSTON_ROCKETS,16,585,20.8,0.565,0.177,0.4,9.2,19.4,14.4,28.5,1.5,2.4,14.8,25.8,1.4,0.8,2.2,0.18,4.1,1.4,5.5,1.1,False,2026
8,9,Giannis Antetokounmpo,MIL,8,11,0.421,13,13,31.8,12.0,19.1,0.629,0.7,1.4,0.5,11.3,17.7,0.639,0.647,6.5,10.2,0.636,3.7,7.2,10.8,6.8,0.9,1.2,3.5,2.6,31.2,5,antetgi01,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31,Team.MILWAUKEE_BUCKS,13,414,34.6,0.662,0.073,0.532,13.1,25.5,19.3,42.0,1.4,3.5,13.1,37.0,1.8,0.5,2.3,0.27,9.2,2.2,11.3,1.4,False,2026
9,10,Tyrese Maxey,PHI,9,8,0.529,17,17,39.9,10.8,22.9,0.47,3.9,9.6,0.409,6.8,13.2,0.516,0.557,6.8,7.7,0.878,0.3,4.1,4.4,7.5,1.6,0.8,2.7,2.4,32.2,13,maxeyty01,[<Position.POINT_GUARD: 'POINT GUARD'>],25,Team.PHILADELPHIA_76ERS,17,679,23.9,0.613,0.422,0.337,0.8,11.5,6.1,32.1,1.9,1.8,9.3,30.3,2.2,0.6,2.8,0.194,6.3,0.4,6.7,1.5,False,2026
